record_id,y,split
R00000,0,test
R00001,0,train
R00002,0,val
R00003,0,val
R00004,0,train
R00005,0,train
R00006,0,test
R00007,0,test
R00008,0,train
R00009,0,train
R00010,0,val
R00011,0,train
R00012,0,train
R00013,0,train
R00014,0,val
R00015,0,val
R00016,0,val
R00017,0,val
R00018,0,train
R00019,0,train
R00020,0,train
R00021,0,test
R00022,0,train
R00023,0,train
R00024,0,val
R00025,0,train
R00026,0,val
R00027,0,train
R00028,0,train
R00029,0,test
R00030,0,train
R00031,0,train
R00032,0,train
R00033,0,train
R00034,0,train
R00035,0,train
R00036,0,train
R00037,0,train
R00038,0,train
R00039,0,train
R00040,0,train
R00041,1,train
R00042,0,train
R00043,0,train
R00044,0,train
R00045,1,train
R00046,0,train
R00047,0,train
R00048,0,train
R00049,0,train
R00050,0,train
R00051,0,val
R00052,0,train
R00053,0,test
R00054,0,train
R00055,0,train
R00056,0,train
R00057,1,train
R00058,0,train
R00059,0,train
R00060,0,train
R00061,0,train
R00062,0,train
R00063,0,test
R00064,0,train
R00065,0,val
R00066,0,train
R00067,0,train
R00068,0,train
R00069,0,train
R00070,0,train
R00071,0,train
R00072,0,train
R00073,0,val
R00074,0,train
R00075,0,test
R00076,0,train
R00077,0,train
R00078,0,val
R00079,0,test
R00080,0,train
R00081,0,train
R00082,0,train
R00083,0,test
R00084,0,train
R00085,0,train
R00086,0,val
R00087,0,val
R00088,0,val
R00089,0,train
R00090,0,train
R00091,0,test
R00092,0,val
R00093,0,train
R00094,0,val
R00095,0,train
R00096,0,test
R00097,1,test
R00098,1,val
R00099,0,train
R00100,0,train
R00101,0,train
R00102,0,train
R00103,0,train
R00104,0,train
R00105,0,train
R00106,0,train
R00107,0,val
R00108,0,train
R00109,0,train
R00110,0,train
R00111,0,train
R00112,0,train
R00113,0,train
R00114,0,val
R00115,0,val
R00116,0,test
R00117,0,test
R00118,0,train
R00119,0,train
R00120,0,train
R00121,0,val
R00122,0,train
R00123,0,train
R00124,0,train
R00125,0,val
R00126,0,train
R00127,1,val
R00128,0,test
R00129,0,train
R00130,0,train
R00131,0,train
R00132,0,train
R00133,0,train
R00134,0,train
R00135,0,val
R00136,0,train
R00137,0,test
R00138,0,val
R00139,0,train
R00140,0,test
R00141,0,train
R00142,0,test
R00143,0,train
R00144,0,train
R00145,0,val
R00146,0,train
R00147,0,train
R00148,0,train
R00149,1,val
R00150,1,train
R00151,0,train
R00152,0,train
R00153,0,train
R00154,0,train
R00155,0,train
R00156,0,train
R00157,0,train
R00158,0,train
R00159,0,test
R00160,0,test
R00161,0,test
R00162,0,train
R00163,0,train
R00164,0,train
R00165,0,val
R00166,0,train
R00167,0,train
R00168,0,train
R00169,0,train
R00170,0,train
R00171,0,train
R00172,0,train
R00173,0,test
R00174,1,train
R00175,0,test
R00176,0,train
R00177,0,train
R00178,0,train
R00179,1,train
R00180,0,val
R00181,0,train
R00182,0,test
R00183,0,train
R00184,0,train
R00185,0,val
R00186,0,train
R00187,0,train
R00188,0,train
R00189,0,val
R00190,0,train
R00191,0,train
R00192,0,train
R00193,0,train
R00194,1,test
R00195,0,test
R00196,0,train
R00197,0,train
R00198,0,train
R00199,0,test
R00200,0,val
R00201,0,train
R00202,0,train
R00203,1,test
R00204,0,test
R00205,0,test
R00206,0,val
R00207,0,train
R00208,0,train
R00209,0,train
R00210,0,train
R00211,0,train
R00212,0,train
R00213,0,val
