row_index,record_id,y,split
0,R00000,0,test
1,R00001,0,test
2,R00002,0,val
3,R00003,0,val
4,R00004,0,val
5,R00005,0,train
6,R00006,0,test
7,R00007,0,train
8,R00008,0,train
9,R00009,0,train
10,R00010,0,val
11,R00011,0,train
12,R00012,0,train
13,R00013,0,val
14,R00014,0,train
15,R00015,0,train
16,R00016,0,train
17,R00017,0,train
18,R00018,0,test
19,R00019,0,train
20,R00020,0,train
21,R00021,0,train
22,R00022,0,train
23,R00023,0,train
24,R00024,0,train
25,R00025,0,train
26,R00026,0,train
27,R00027,0,train
28,R00028,0,train
29,R00029,0,train
30,R00030,0,train
31,R00031,0,train
32,R00032,0,test
33,R00033,0,train
34,R00034,0,train
35,R00035,0,val
36,R00036,0,train
37,R00037,0,train
38,R00038,0,train
39,R00039,0,train
40,R00040,0,test
41,R00041,1,train
42,R00042,0,train
43,R00043,0,train
44,R00044,0,train
45,R00045,1,train
46,R00046,0,train
47,R00047,0,train
48,R00048,0,train
49,R00049,0,test
50,R00050,0,train
51,R00051,0,train
52,R00052,0,train
53,R00053,0,train
54,R00054,0,train
55,R00055,0,train
56,R00056,0,train
57,R00057,1,test
58,R00058,0,train
59,R00059,0,train
60,R00060,0,train
61,R00061,0,val
62,R00062,0,test
63,R00063,0,train
64,R00064,0,train
65,R00065,0,train
66,R00066,0,test
67,R00067,0,val
68,R00068,0,test
69,R00069,0,train
70,R00070,0,train
71,R00071,0,test
72,R00072,0,train
73,R00073,0,val
74,R00074,0,test
75,R00075,0,train
76,R00076,0,train
77,R00077,0,train
78,R00078,0,val
79,R00079,0,train
80,R00080,0,train
81,R00081,0,train
82,R00082,0,train
83,R00083,0,train
84,R00084,0,train
85,R00085,0,val
86,R00086,0,train
87,R00087,0,train
88,R00088,0,test
89,R00089,0,train
90,R00090,0,test
91,R00091,0,train
92,R00092,0,val
93,R00093,0,train
94,R00094,0,train
95,R00095,0,train
96,R00096,0,train
97,R00097,1,test
98,R00098,1,train
99,R00099,0,val
100,R00100,0,train
101,R00101,0,test
102,R00102,0,train
103,R00103,0,train
104,R00104,0,test
105,R00105,0,train
106,R00106,0,val
107,R00107,0,train
108,R00108,0,train
109,R00109,0,train
110,R00110,0,train
111,R00111,0,test
112,R00112,0,train
113,R00113,0,test
114,R00114,0,train
115,R00115,0,train
116,R00116,0,test
117,R00117,0,train
118,R00118,0,train
119,R00119,0,test
120,R00120,0,train
121,R00121,0,train
122,R00122,0,train
123,R00123,0,val
124,R00124,0,train
125,R00125,0,test
126,R00126,0,train
127,R00127,1,train
128,R00128,0,train
129,R00129,0,train
130,R00130,0,train
131,R00131,0,train
132,R00132,0,train
133,R00133,0,train
134,R00134,0,test
135,R00135,0,test
136,R00136,0,test
137,R00137,0,train
138,R00138,0,train
139,R00139,0,train
140,R00140,0,train
141,R00141,0,train
142,R00142,0,train
143,R00143,0,train
144,R00144,0,train
145,R00145,0,train
146,R00146,0,train
147,R00147,0,train
148,R00148,0,train
149,R00149,1,val
150,R00150,1,train
151,R00151,0,train
152,R00152,0,test
153,R00153,0,train
154,R00154,0,train
155,R00155,0,train
156,R00156,0,val
157,R00157,0,train
158,R00158,0,train
159,R00159,0,train
160,R00160,0,test
161,R00161,0,val
162,R00162,0,train
163,R00163,0,train
164,R00164,0,train
165,R00165,0,test
166,R00166,0,train
167,R00167,0,test
168,R00168,0,train
169,R00169,0,train
170,R00170,0,train
171,R00171,0,train
172,R00172,0,train
173,R00173,0,val
174,R00174,1,train
175,R00175,0,train
176,R00176,0,train
177,R00177,0,train
178,R00178,0,train
179,R00179,1,train
180,R00180,0,train
181,R00181,0,train
182,R00182,0,val
183,R00183,0,val
184,R00184,0,train
185,R00185,0,train
186,R00186,0,train
187,R00187,0,train
188,R00188,0,val
189,R00189,0,train
190,R00190,0,train
191,R00191,0,train
192,R00192,0,test
193,R00193,0,train
194,R00194,1,test
195,R00195,0,val
196,R00196,0,train
197,R00197,0,train
198,R00198,0,train
199,R00199,0,test
200,R00200,0,val
201,R00201,0,val
202,R00202,0,val
203,R00203,1,val
204,R00204,0,test
205,R00205,0,train
206,R00206,0,train
207,R00207,0,train
208,R00208,0,train
209,R00209,0,test
210,R00210,0,test
211,R00211,0,val
212,R00212,0,train
213,R00213,0,train
214,R00214,0,train
215,R00215,0,train
216,R00216,0,train
217,R00217,0,train
218,R00218,0,train
219,R00219,0,train
220,R00220,0,val
221,R00221,0,train
222,R00222,0,test
223,R00223,0,train
224,R00224,0,train
225,R00225,0,test
226,R00226,1,train
227,R00227,0,val
228,R00228,0,train
229,R00229,0,train
230,R00230,0,train
231,R00231,0,test
232,R00232,0,train
233,R00233,0,val
234,R00234,1,train
235,R00235,1,train
236,R00236,0,train
237,R00237,0,train
238,R00238,0,train
239,R00239,0,val
240,R00240,0,train
241,R00241,0,train
242,R00242,0,train
243,R00243,0,train
244,R00244,0,test
245,R00245,0,val
246,R00246,1,train
247,R00247,0,train
248,R00248,1,train
249,R00249,0,test
250,R00250,0,train
251,R00251,0,train
252,R00252,0,train
253,R00253,1,train
254,R00254,0,train
255,R00255,0,train
256,R00256,0,train
257,R00257,0,train
258,R00258,0,val
259,R00259,0,val
260,R00260,0,train
261,R00261,0,test
262,R00262,0,train
263,R00263,0,train
264,R00264,0,test
265,R00265,0,train
266,R00266,0,train
267,R00267,0,train
268,R00268,0,train
269,R00269,0,train
270,R00270,0,train
271,R00271,0,test
272,R00272,0,val
273,R00273,0,train
274,R00274,0,train
275,R00275,0,val
276,R00276,0,train
277,R00277,0,train
278,R00278,0,train
279,R00279,0,train
280,R00280,0,val
281,R00281,1,test
282,R00282,0,train
283,R00283,0,train
284,R00284,0,test
285,R00285,0,train
286,R00286,0,val
287,R00287,0,test
288,R00288,0,train
289,R00289,0,train
290,R00290,0,train
291,R00291,0,train
292,R00292,0,train
293,R00293,0,test
294,R00294,0,train
295,R00295,0,val
296,R00296,0,train
297,R00297,1,train
298,R00298,0,train
299,R00299,0,train
300,R00300,0,val
301,R00301,0,train
302,R00302,0,test
303,R00303,0,train
304,R00304,0,train
305,R00305,0,train
306,R00306,0,train
307,R00307,0,train
308,R00308,0,train
309,R00309,0,train
310,R00310,0,val
311,R00311,0,test
312,R00312,0,train
313,R00313,1,train
314,R00314,0,train
315,R00315,0,train
316,R00316,0,train
317,R00317,0,train
318,R00318,1,train
319,R00319,0,train
320,R00320,0,val
321,R00321,0,test
322,R00322,0,train
323,R00323,0,train
324,R00324,0,test
325,R00325,0,test
326,R00326,0,train
327,R00327,0,train
328,R00328,0,train
329,R00329,0,train
330,R00330,0,test
331,R00331,0,val
332,R00332,0,val
333,R00333,0,train
334,R00334,0,train
335,R00335,1,train
336,R00336,1,train
337,R00337,0,train
338,R00338,0,train
339,R00339,0,train
340,R00340,0,train
341,R00341,0,train
342,R00342,0,val
343,R00343,0,train
344,R00344,0,test
345,R00345,0,train
346,R00346,0,train
347,R00347,0,train
348,R00348,0,train
349,R00349,0,train
350,R00350,0,val
351,R00351,0,val
352,R00352,0,train
353,R00353,0,test
354,R00354,0,train
355,R00355,0,train
356,R00356,1,train
357,R00357,0,val
358,R00358,0,test
359,R00359,0,train
360,R00360,0,train
361,R00361,0,test
362,R00362,0,test
363,R00363,0,train
364,R00364,0,test
365,R00365,0,test
366,R00366,0,train
367,R00367,0,train
368,R00368,0,train
369,R00369,0,test
370,R00370,0,test
371,R00371,0,test
372,R00372,0,train
373,R00373,0,val
374,R00374,0,test
375,R00375,0,train
376,R00376,0,train
377,R00377,0,val
378,R00378,0,test
379,R00379,0,train
380,R00380,0,train
381,R00381,0,train
382,R00382,0,train
383,R00383,0,val
384,R00384,0,val
385,R00385,0,train
386,R00386,0,train
387,R00387,0,train
388,R00388,0,test
389,R00389,0,train
390,R00390,0,train
391,R00391,0,train
392,R00392,0,train
393,R00393,0,val
394,R00394,0,train
395,R00395,0,train
396,R00396,0,train
397,R00397,0,train
398,R00398,0,test
399,R00399,0,test
400,R00400,1,test
401,R00401,0,train
402,R00402,0,train
403,R00403,1,val
404,R00404,0,train
405,R00405,0,val
406,R00406,0,train
407,R00407,0,train
408,R00408,0,train
409,R00409,0,test
410,R00410,0,train
411,R00411,0,train
412,R00412,0,test
413,R00413,0,train
414,R00414,0,train
415,R00415,0,train
416,R00416,0,val
417,R00417,0,train
418,R00418,0,val
419,R00419,0,train
420,R00420,0,train
421,R00421,0,train
422,R00422,0,train
423,R00423,0,test
424,R00424,0,train
425,R00425,0,train
426,R00426,1,train
427,R00427,0,train
428,R00428,0,test
429,R00429,0,test
430,R00430,0,train
431,R00431,0,train
432,R00432,0,train
433,R00433,0,train
434,R00434,0,train
435,R00435,0,train
436,R00436,0,test
437,R00437,0,train
438,R00438,0,train
439,R00439,1,test
440,R00440,0,test
441,R00441,0,train
442,R00442,0,train
443,R00443,0,train
444,R00444,1,test
445,R00445,0,test
446,R00446,0,train
447,R00447,0,train
448,R00448,0,train
449,R00449,0,test
450,R00450,0,train
451,R00451,0,test
452,R00452,0,train
453,R00453,0,val
454,R00454,0,train
455,R00455,0,train
456,R00456,0,train
457,R00457,0,train
458,R00458,0,train
459,R00459,0,val
460,R00460,0,val
461,R00461,0,train
462,R00462,0,train
463,R00463,0,test
464,R00464,0,train
465,R00465,0,train
466,R00466,0,train
467,R00467,0,test
468,R00468,0,train
469,R00469,0,train
470,R00470,0,train
471,R00471,0,train
472,R00472,0,train
473,R00473,0,val
474,R00474,0,train
475,R00475,0,val
476,R00476,0,val
477,R00477,0,test
478,R00478,0,train
479,R00479,0,train
480,R00480,1,train
481,R00481,0,train
482,R00482,0,train
483,R00483,0,train
484,R00484,0,train
485,R00485,0,train
486,R00486,0,test
487,R00487,0,train
488,R00488,0,val
489,R00489,0,train
490,R00490,0,test
491,R00491,0,test
492,R00492,0,train
493,R00493,0,train
494,R00494,0,test
495,R00495,0,test
496,R00496,0,train
497,R00497,0,train
498,R00498,0,train
499,R00499,0,train
500,R00500,0,train
501,R00501,0,train
502,R00502,0,test
503,R00503,0,train
504,R00504,1,train
505,R00505,0,test
506,R00506,0,train
507,R00507,0,train
508,R00508,0,test
509,R00509,0,train
510,R00510,1,train
511,R00511,0,test
512,R00512,0,val
513,R00513,0,train
514,R00514,0,train
515,R00515,0,train
516,R00516,0,test
517,R00517,0,train
518,R00518,0,val
519,R00519,0,train
520,R00520,0,train
521,R00521,0,train
522,R00522,0,train
523,R00523,0,train
524,R00524,0,train
525,R00525,0,val
526,R00526,0,train
527,R00527,0,train
528,R00528,0,train
529,R00529,0,train
530,R00530,0,train
531,R00531,0,train
532,R00532,0,test
533,R00533,0,train
534,R00534,0,train
535,R00535,0,train
536,R00536,0,train
537,R00537,0,train
538,R00538,0,val
539,R00539,0,val
540,R00540,0,train
541,R00541,0,train
542,R00542,0,train
543,R00543,0,train
544,R00544,0,val
545,R00545,0,train
546,R00546,0,train
547,R00547,0,val
548,R00548,0,val
549,R00549,0,train
550,R00550,0,val
551,R00551,0,test
552,R00552,1,train
553,R00553,0,train
554,R00554,0,test
555,R00555,0,train
556,R00556,0,test
557,R00557,0,train
558,R00558,0,test
559,R00559,0,train
560,R00560,1,train
561,R00561,0,train
562,R00562,0,train
563,R00563,0,train
564,R00564,0,val
565,R00565,0,train
566,R00566,0,train
567,R00567,0,train
568,R00568,0,train
569,R00569,0,val
570,R00570,0,val
571,R00571,0,test
572,R00572,0,val
573,R00573,0,train
574,R00574,0,train
575,R00575,0,val
576,R00576,0,train
577,R00577,0,train
578,R00578,0,train
579,R00579,0,train
580,R00580,0,train
581,R00581,0,train
582,R00582,0,train
583,R00583,0,train
584,R00584,0,val
585,R00585,0,val
586,R00586,0,val
587,R00587,0,train
588,R00588,0,train
589,R00589,0,train
590,R00590,0,val
591,R00591,0,train
592,R00592,0,train
593,R00593,0,val
594,R00594,0,val
595,R00595,0,train
596,R00596,0,train
597,R00597,0,train
598,R00598,0,train
599,R00599,0,val
600,R00600,0,train
601,R00601,0,train
602,R00602,0,val
603,R00603,0,test
604,R00604,0,train
605,R00605,0,train
606,R00606,0,train
607,R00607,0,val
608,R00608,0,train
609,R00609,0,train
610,R00610,0,train
611,R00611,0,val
612,R00612,0,train
613,R00613,0,train
614,R00614,0,val
615,R00615,0,train
616,R00616,0,train
617,R00617,0,train
618,R00618,0,train
619,R00619,0,train
620,R00620,1,val
621,R00621,0,train
622,R00622,0,train
623,R00623,0,test
624,R00624,0,train
625,R00625,0,train
