record_id,x,y,y_true,plotted
R00000,0.0,0.0,0,0
R00006,0.0,0.0,0,0
R00007,0.0,0.0,0,0
R00021,0.0,0.0,0,0
R00029,0.0,0.0,0,0
R00053,0.0,0.0,0,0
R00063,0.0,0.0,0,0
R00075,0.0,0.0,0,0
R00079,0.0,0.0,0,0
R00083,0.0,0.0,0,0
R00091,0.0,0.0,0,0
R00096,0.0,0.0,0,0
R00097,12.261549904076311,-7.584292972961915,1,1
R00116,0.0,0.0,0,0
R00117,0.0,0.0,0,0
R00128,0.0,0.0,0,0
R00137,0.0,0.0,0,0
R00140,0.0,0.0,0,0
R00142,0.0,0.0,0,0
R00159,0.0,0.0,0,0
R00160,0.0,0.0,0,0
R00161,0.0,0.0,0,0
R00173,0.0,0.0,0,0
R00175,0.0,0.0,0,0
R00182,0.0,0.0,0,0
R00194,11.382460550451071,-12.91556585395032,1,1
R00195,0.0,0.0,0,0
R00199,0.0,0.0,0,0
R00203,10.076215031781192,-7.096547661441766,1,1
R00204,0.0,0.0,0,0
R00205,0.0,0.0,0,0
R00214,0.0,0.0,0,0
R00224,0.0,0.0,0,0
R00234,14.143999999999998,-11.371237458193981,1,1
R00237,0.0,0.0,0,0
R00242,0.0,0.0,0,0
R00243,0.0,0.0,0,0
R00253,-3.4348818730169315,-8.27992383280353,1,1
R00259,0.0,0.0,0,0
R00260,0.0,0.0,0,0
R00263,0.0,0.0,0,0
R00276,0.0,0.0,0,0
R00288,0.0,0.0,0,0
R00294,0.0,0.0,0,0
R00317,0.0,0.0,0,0
R00318,11.442103030061253,-6.709885364654311,1,1
R00320,0.0,0.0,0,0
R00328,0.0,0.0,0,0
R00354,0.0,0.0,0,0
R00356,11.431861906392582,-6.5163565981068325,1,1
R00361,0.0,0.0,0,0
R00362,0.0,0.0,0,0
R00364,0.0,0.0,0,0
R00365,0.0,0.0,0,0
R00377,0.0,0.0,0,0
R00391,0.0,0.0,0,0
R00394,0.0,0.0,0,0
R00395,0.0,0.0,0,0
R00402,0.0,0.0,0,0
R00403,12.856143282635955,-8.933629625361517,1,1
R00418,0.0,0.0,0,0
R00449,-13.732776119402985,-10.77954708065026,0,1
R00451,0.0,0.0,0,0
R00452,0.0,0.0,0,0
R00456,0.0,0.0,0,0
R00463,-7.3289014084507045,2.7201783723522865,0,1
R00472,0.0,0.0,0,0
R00480,12.109976927813456,-6.154389098096828,1,1
R00512,0.0,0.0,0,0
R00513,0.0,0.0,0,0
R00520,0.0,0.0,0,0
R00522,0.0,0.0,0,0
R00523,0.0,0.0,0,0
R00525,0.0,0.0,0,0
R00531,0.0,0.0,0,0
R00532,0.0,0.0,0,0
R00534,0.0,0.0,0,0
R00564,0.0,0.0,0,0
R00571,0.0,0.0,0,0
R00572,0.0,0.0,0,0
R00582,0.0,0.0,0,0
R00590,0.0,0.0,0,0
R00592,0.0,0.0,0,0
R00595,-18.993475177304965,12.922191386576213,0,1
R00608,0.0,0.0,0,0
R00613,0.0,0.0,0,0
R00615,0.0,0.0,0,0
R00622,0.0,0.0,0,0
R00625,0.0,0.0,0,0
R00634,0.0,0.0,0,0
R00635,0.0,0.0,0,0
R00638,0.0,0.0,0,0
R00653,0.0,0.0,0,0
R00654,0.0,0.0,0,0
R00658,0.0,0.0,0,0
R00667,0.0,0.0,0,0
R00682,0.0,0.0,0,0
R00687,0.0,0.0,0,0
R00688,0.0,0.0,0,0
R00694,0.0,0.0,0,0
R00695,0.0,0.0,0,0
R00720,0.0,0.0,0,0
R00729,0.0,0.0,0,0
R00730,0.0,0.0,0,0
R00737,0.0,0.0,0,0
R00738,0.0,0.0,0,0
R00742,0.0,0.0,0,0
R00745,0.0,0.0,0,0
R00750,0.0,0.0,0,0
R00757,0.0,0.0,0,0
R00772,0.0,0.0,0,0
R00779,0.0,0.0,0,0
R00780,0.0,0.0,0,0
R00789,0.0,0.0,0,0
R00799,-13.824000000000002,-12.173913043478265,1,1
R00818,0.0,0.0,0,0
R00834,16.35857478935927,-17.987259095957658,1,1
R00856,16.959999999999994,-15.592317418987982,1,1
R00865,0.0,0.0,0,0
R00880,0.0,0.0,0,0
R00902,0.0,0.0,0,0
R00908,0.0,0.0,0,0
R00917,0.0,0.0,0,0
R00926,0.0,0.0,0,0
R00928,0.0,0.0,0,0
R00932,0.0,0.0,0,0
R00941,0.0,0.0,0,0
R00947,0.0,0.0,0,0
R00948,0.0,0.0,0,0
R00949,0.0,0.0,0,0
R00956,0.0,0.0,0,0
R00958,0.0,0.0,0,0
R00968,0.0,0.0,0,0
R00977,0.0,0.0,0,0
R00981,-4.290931297709925,-7.297948207340845,0,1
R00984,0.0,0.0,0,0
R00988,0.0,0.0,0,0
R00998,0.0,0.0,0,0
R01011,0.0,0.0,0,0
R01019,0.0,0.0,0,0
R01032,0.0,0.0,0,0
R01043,0.0,0.0,0,0
R01046,0.0,0.0,0,0
R01051,0.0,0.0,0,0
R01057,0.0,0.0,0,0
R01059,0.0,0.0,0,0
R01061,0.0,0.0,0,0
R01086,0.0,0.0,0,0
R01091,0.0,0.0,0,0
R01093,0.0,0.0,0,0
R01100,0.0,0.0,0,0
R01104,0.0,0.0,0,0
R01111,0.0,0.0,0,0
R01113,0.0,0.0,0,0
R01114,0.0,0.0,0,0
R01119,0.0,0.0,0,0
R01136,0.0,0.0,0,0
R01152,0.0,0.0,0,0
R01153,0.0,0.0,0,0
R01160,0.0,0.0,0,0
R01166,0.0,0.0,0,0
R01169,0.0,0.0,0,0
R01170,0.0,0.0,0,0
R01175,-24.625159420289854,4.414715719063544,0,1
R01184,0.0,0.0,0,0
R01188,0.0,0.0,0,0
R01197,-3.7120000000000033,-8.16053511705686,1,1
R01203,0.0,0.0,0,0
R01223,0.0,0.0,0,0
R01228,0.0,0.0,0,0
R01231,0.0,0.0,0,0
R01240,0.0,0.0,0,0
R01247,0.0,0.0,0,0
R01255,11.642047249748364,-6.924049491322574,1,1
R01264,0.0,0.0,0,0
R01269,9.461463395300058,-10.611897286524613,1,1
R01277,0.0,0.0,0,0
R01281,-19.29673282442748,-3.994655637536482,0,1
R01288,0.0,0.0,0,0
R01290,0.0,0.0,0,0
R01301,6.096107497661484,-10.386776723570511,1,1
R01305,0.0,0.0,0,0
R01309,0.0,0.0,0,0
R01312,0.0,0.0,0,0
R01316,0.0,0.0,0,0
R01323,0.0,0.0,0,0
R01325,0.0,0.0,0,0
R01337,0.0,0.0,0,0
R01345,9.122496453900709,4.155380029570594,0,1
R01347,0.0,0.0,0,0
R01351,0.0,0.0,0,0
R01355,0.0,0.0,0,0
R01356,0.0,0.0,0,0
R01361,0.0,0.0,0,0
R01367,0.0,0.0,0,0
R01372,0.0,0.0,0,0
R01378,0.0,0.0,0,0
R01379,0.0,0.0,0,0
R01383,0.0,0.0,0,0
R01388,0.0,0.0,0,0
R01393,23.30277380195441,-15.137361955551487,1,1
R01395,0.0,0.0,0,0
R01399,0.0,0.0,0,0
R01405,0.0,0.0,0,0
R01413,0.0,0.0,0,0
R01415,0.0,0.0,0,0
R01418,0.0,0.0,0,0
R01421,0.0,0.0,0,0
R01424,0.0,0.0,0,0
R01435,0.0,0.0,0,0
R01443,0.0,0.0,0,0
R01457,0.0,0.0,0,0
R01477,0.0,0.0,0,0
R01478,0.0,0.0,0,0
R01479,18.688000000000002,-13.154960981047942,1,1
R01483,0.0,0.0,0,0
R01496,0.0,0.0,0,0
R01507,0.0,0.0,0,0
R01508,0.0,0.0,0,0
R01509,0.0,0.0,0,0
R01513,0.0,0.0,0,0
R01520,-26.704350364963503,-10.433155123729549,0,1
R01522,0.0,0.0,0,0
R01524,0.0,0.0,0,0
R01526,0.0,0.0,0,0
R01527,0.0,0.0,0,0
R01536,0.0,0.0,0,0
R01544,0.0,0.0,0,0
R01556,0.0,0.0,0,0
R01559,0.0,0.0,0,0
R01564,0.0,0.0,0,0
R01566,0.0,0.0,0,0
R01577,0.0,0.0,0,0
R01581,0.0,0.0,0,0
R01584,0.0,0.0,0,0
R01585,0.0,0.0,0,0
R01589,0.0,0.0,0,0
R01590,0.0,0.0,0,0
R01593,0.0,0.0,0,0
R01605,0.0,0.0,0,0
R01612,0.0,0.0,0,0
R01621,0.0,0.0,0,0
R01625,0.0,0.0,0,0
R01637,0.0,0.0,0,0
R01643,0.0,0.0,0,0
R01645,0.0,0.0,0,0
R01648,0.0,0.0,0,0
R01649,0.0,0.0,0,0
R01652,0.0,0.0,0,0
R01656,0.0,0.0,0,0
R01660,0.0,0.0,0,0
R01661,0.0,0.0,0,0
R01663,0.0,0.0,0,0
R01671,16.36095539266582,-8.125311921308166,1,1
R01679,0.0,0.0,0,0
R01683,0.0,0.0,0,0
R01688,0.0,0.0,0,0
R01689,0.0,0.0,0,0
R01691,0.0,0.0,0,0
R01696,0.0,0.0,0,0
R01711,0.0,0.0,0,0
R01714,0.0,0.0,0,0
R01715,0.0,0.0,0,0
R01716,0.0,0.0,0,0
R01725,0.0,0.0,0,0
R01737,0.0,0.0,0,0
R01744,0.0,0.0,0,0
R01745,0.0,0.0,0,0
R01762,0.0,0.0,0,0
R01772,0.0,0.0,0,0
R01775,0.0,0.0,0,0
R01786,0.0,0.0,0,0
R01799,0.0,0.0,0,0
R01802,0.0,0.0,0,0
R01808,0.0,0.0,0,0
R01810,0.0,0.0,0,0
R01811,0.0,0.0,0,0
R01818,0.0,0.0,0,0
R01820,0.0,0.0,0,0
R01821,0.0,0.0,0,0
R01824,0.0,0.0,0,0
R01828,0.0,0.0,0,0
