rank,eigenvalue,cumshare
1,0.9950432852689051,0.09590570094785054
2,0.8261786837690902,0.17553564966272905
3,0.6946667998879933,0.24249002979349277
4,0.5922452417381984,0.29957266718507247
5,0.5124792520477437,0.34896718360109613
6,0.4200562806400884,0.38945365552522726
7,0.37493092257535,0.4255907899282757
8,0.33978725837815543,0.4583406568640631
9,0.3124173451813824,0.48845251724387545
10,0.2911016353511375,0.5165098960521467
11,0.27450094384362117,0.5429672430036961
12,0.2615723122980404,0.5681784838922914
13,0.2515034839263004,0.592419256403268
14,0.24366187250577784,0.6159042273818092
15,0.23755481939093304,0.6388005795350429
16,0.23279864164283354,0.6612385148861968
17,0.22909452668818636,0.6833194348729177
18,0.2262097590609213,0.7051223110142497
19,0.22396309977382745,0.7267086463910646
20,0.22221339976174465,0.7481263396509068
21,0.22085073202219396,0.7694126942979918
22,0.21978948531956646,0.7905967623306138
23,0.21896298555652793,0.8117011694677947
24,0.21831930689386528,0.8327435366372256
25,0.2178180094473368,0.8537375870311911
26,0.21742759860342895,0.8746940082825886
27,0.21712354633247366,0.895621123928288
28,0.21688675018576,0.9165254163453211
29,0.2167023331612707,0.9374119340139971
30,0.2165587090381867,0.9582846086947334
31,0.21644685445866055,0.9791465024456222
32,0.21635974202453595,0.9999999999999036
