model,seed,tp,fp,threshold,accuracy,precision,recall,f1,auc
lr,0,36,29,0.315,0.9456890699253224,0.5538461538461539,0.41379310344827586,0.47368421052631576,0.721695609626644
lr,1,36,28,0.308,0.9463679565512559,0.5625,0.41379310344827586,0.4768211920529801,0.7156748105023967
lr,2,37,31,0.301,0.945010183299389,0.5441176470588235,0.42528735632183906,0.4774193548387097,0.71874326184671
lr,3,38,29,0.294,0.9470468431771895,0.5671641791044776,0.4367816091954023,0.4935064935064935,0.7120921862301173
lr,4,37,32,0.287,0.9443312966734555,0.5362318840579711,0.42528735632183906,0.47435897435897434,0.7279486158796503
svm,0,39,29,0.309,0.9477257298031229,0.5735294117647058,0.4482758620689655,0.5032258064516129,0.7429840274667859
svm,1,41,34,0.365,0.9456890699253224,0.5466666666666666,0.47126436781609193,0.5061728395061729,0.7333723109585178
svm,2,39,30,0.358,0.9470468431771895,0.5652173913043478,0.4482758620689655,0.5,0.753615796719245
svm,3,38,29,0.351,0.9470468431771895,0.5671641791044776,0.4367816091954023,0.4935064935064935,0.7409936806488531
svm,4,38,32,0.344,0.945010183299389,0.5428571428571428,0.4367816091954023,0.4840764331210191,0.7466744621917035
rf,0,42,33,0.416,0.9470468431771895,0.56,0.4827586206896552,0.5185185185185185,0.7804274269791511
rf,1,42,32,0.409,0.9477257298031229,0.5675675675675675,0.4827586206896552,0.5217391304347826,0.787484865071072
rf,2,40,31,0.402,0.9470468431771895,0.5633802816901409,0.45977011494252873,0.5063291139240507,0.7863570018742434
rf,3,40,30,0.395,0.9477257298031229,0.5714285714285714,0.45977011494252873,0.5095541401273885,0.7800293576155646
rf,4,42,30,0.388,0.9490835030549898,0.5833333333333334,0.4827586206896552,0.5283018867924528,0.7731460748702128
xgboost,0,43,31,0.407,0.9490835030549898,0.581081081081081,0.4942528735632184,0.5341614906832298,0.8192889485992934
xgboost,1,41,28,0.3999999999999999,0.9497623896809233,0.5942028985507246,0.47126436781609193,0.5256410256410257,0.8077781095022474
xgboost,2,41,27,0.456,0.9504412763068567,0.6029411764705882,0.47126436781609193,0.5290322580645161,0.8162122041432385
xgboost,3,40,28,0.449,0.9490835030549898,0.5882352941176471,0.45977011494252873,0.5161290322580645,0.8200187424325356
xgboost,4,39,24,0.442,0.9511201629327902,0.6190476190476191,0.4482758620689655,0.52,0.8157477898857208
lightgbm,0,41,30,0.437,0.9484046164290564,0.5774647887323944,0.47126436781609193,0.5189873417721519,0.8125217694183212
lightgbm,1,43,32,0.43,0.9484046164290564,0.5733333333333334,0.4942528735632184,0.5308641975308642,0.8057380040138661
lightgbm,2,41,31,0.423,0.9477257298031229,0.5694444444444444,0.47126436781609193,0.5157232704402516,0.8168093081886185
lightgbm,3,40,34,0.416,0.945010183299389,0.5405405405405406,0.45977011494252873,0.4968944099378882,0.8036647260785191
lightgbm,4,42,30,0.409,0.9490835030549898,0.5833333333333334,0.4827586206896552,0.5283018867924528,0.8081181270836444
mlp,0,39,32,0.3369999999999999,0.9456890699253224,0.5492957746478874,0.4482758620689655,0.4936708860759494,0.7516586223482775
mlp,1,42,45,0.3299999999999999,0.9389002036659878,0.4827586206896552,0.4827586206896552,0.4827586206896552,0.7694224676983298
mlp,2,39,31,0.386,0.9463679565512559,0.5571428571428572,0.4482758620689655,0.4968152866242038,0.7635177721384618
mlp,3,38,30,0.379,0.9463679565512559,0.5588235294117647,0.4367816091954023,0.49032258064516127,0.7538811762949693
mlp,4,40,31,0.372,0.9470468431771895,0.5633802816901409,0.45977011494252873,0.5063291139240507,0.7531265031265031
ae_mlp,0,42,42,0.3379999999999999,0.9409368635437881,0.5,0.4827586206896552,0.49122807017543857,0.7413171120067672
ae_mlp,1,40,38,0.394,0.9422946367956552,0.5128205128205128,0.45977011494252873,0.48484848484848486,0.7517747259126569
ae_mlp,2,43,41,0.387,0.9422946367956552,0.5119047619047619,0.4942528735632184,0.5029239766081871,0.7418561642699573
ae_mlp,3,40,39,0.38,0.9416157501697217,0.5063291139240507,0.45977011494252873,0.4819277108433735,0.7559212817833507
ae_mlp,4,38,34,0.373,0.9436524100475221,0.5277777777777778,0.4367816091954023,0.4779874213836478,0.7584092153057671
dae_mlp,0,43,38,0.346,0.9443312966734555,0.5308641975308642,0.4942528735632184,0.5119047619047619,0.7875677961884858
dae_mlp,1,42,33,0.402,0.9470468431771895,0.56,0.4827586206896552,0.5185185185185185,0.7837944303461546
dae_mlp,2,44,36,0.395,0.9463679565512559,0.55,0.5057471264367817,0.5269461077844312,0.7913577482542999
dae_mlp,3,41,32,0.388,0.9470468431771895,0.5616438356164384,0.47126436781609193,0.5125,0.8008699474216715
dae_mlp,4,45,34,0.381,0.9484046164290564,0.569620253164557,0.5172413793103449,0.5421686746987951,0.785494518253139
vae_mlp,0,44,42,0.36,0.9422946367956552,0.5116279069767442,0.5057471264367817,0.5086705202312138,0.806252176941832
vae_mlp,1,45,39,0.353,0.945010183299389,0.5357142857142857,0.5172413793103449,0.5263157894736842,0.7988298419332902
vae_mlp,2,43,38,0.409,0.9443312966734555,0.5308641975308642,0.4942528735632184,0.5119047619047619,0.8012099650030685
vae_mlp,3,43,37,0.402,0.945010183299389,0.5375,0.4942528735632184,0.5149700598802395,0.7991035146207559
