model,seed,tp,fp,threshold,accuracy,precision,recall,f1,auc
lr,0,36,27,0.3166,0.9470468431771895,0.5714285714285714,0.41379310344827586,0.48,0.7337662337662337
lr,1,38,29,0.3096,0.9470468431771895,0.5671641791044776,0.4367816091954023,0.4935064935064935,0.7294621087724535
lr,2,39,28,0.3026,0.9484046164290564,0.582089552238806,0.4482758620689655,0.5064935064935064,0.7431789155927087
lr,3,38,28,0.2956,0.9477257298031229,0.5757575757575758,0.4367816091954023,0.49673202614379086,0.7332105952795607
lr,4,39,30,0.28859999999999997,0.9470468431771895,0.5652173913043478,0.4482758620689655,0.5,0.7443897099069513
svm,0,40,30,0.3122,0.9477257298031229,0.5714285714285714,0.45977011494252873,0.5095541401273885,0.7603622431208639
svm,1,40,32,0.3682,0.9463679565512559,0.5555555555555556,0.45977011494252873,0.5031446540880503,0.7468361778706606
svm,2,39,25,0.3612,0.9504412763068567,0.609375,0.4482758620689655,0.5165562913907285,0.7579572407158613
svm,3,38,28,0.3542,0.9477257298031229,0.5757575757575758,0.4367816091954023,0.49673202614379086,0.7596739148463286
svm,4,41,30,0.3472,0.9484046164290564,0.5774647887323944,0.47126436781609193,0.5189873417721519,0.7616642616642616
rf,0,42,31,0.41600000000000004,0.9484046164290564,0.5753424657534246,0.4827586206896552,0.525,0.7920999817551542
rf,1,41,29,0.40900000000000003,0.9490835030549898,0.5857142857142857,0.47126436781609193,0.5222929936305732,0.7861704068600619
rf,2,43,31,0.402,0.9490835030549898,0.581081081081081,0.4942528735632184,0.5341614906832298,0.7824882652468859
rf,3,40,30,0.395,0.9477257298031229,0.5714285714285714,0.45977011494252873,0.5095541401273885,0.776732845698363
rf,4,41,29,0.388,0.9490835030549898,0.5857142857142857,0.47126436781609193,0.5222929936305732,0.783516611102818
xgboost,0,41,25,0.4134,0.9517990495587237,0.6212121212121212,0.47126436781609193,0.5359477124183006,0.8137698827354
xgboost,1,40,20,0.4064,0.9545145960624576,0.6666666666666666,0.45977011494252873,0.54421768707483,0.8264168781410159
xgboost,2,41,28,0.46240000000000003,0.9497623896809233,0.5942028985507246,0.47126436781609193,0.5256410256410257,0.8164070922691613
xgboost,3,41,28,0.4554,0.9497623896809233,0.5942028985507246,0.47126436781609193,0.5256410256410257,0.8195170091721817
xgboost,4,42,30,0.4484,0.9490835030549898,0.5833333333333334,0.4827586206896552,0.5283018867924528,0.8153870395249706
lightgbm,0,41,30,0.4386,0.9484046164290564,0.5774647887323944,0.47126436781609193,0.5189873417721519,0.819160405367302
lightgbm,1,43,29,0.4316,0.9504412763068567,0.5972222222222222,0.4942528735632184,0.5408805031446541,0.8058416679106335
lightgbm,2,41,28,0.4246,0.9497623896809233,0.5942028985507246,0.47126436781609193,0.5256410256410257,0.810518982932776
lightgbm,3,42,29,0.41759999999999997,0.9497623896809233,0.5915492957746479,0.4827586206896552,0.5316455696202531,0.8167802822975236
lightgbm,4,42,31,0.41059999999999997,0.9484046164290564,0.5753424657534246,0.4827586206896552,0.525,0.8111990180955698
mlp,0,40,25,0.34019999999999995,0.9511201629327902,0.6153846153846154,0.45977011494252873,0.5263157894736842,0.7778772951186743
mlp,1,43,37,0.33319999999999994,0.945010183299389,0.5375,0.4942528735632184,0.5149700598802395,0.770935960591133
mlp,2,40,28,0.3892,0.9490835030549898,0.5882352941176471,0.45977011494252873,0.5161290322580645,0.7732414456552388
mlp,3,44,46,0.3822,0.9395790902919212,0.4888888888888889,0.5057471264367817,0.4971751412429379,0.762078917251331
mlp,4,39,25,0.3752,0.9504412763068567,0.609375,0.4482758620689655,0.5165562913907285,0.7803652286410908
ae_mlp,0,42,42,0.3444,0.9409368635437881,0.5,0.4827586206896552,0.49122807017543857,0.7616062098820718
ae_mlp,1,42,42,0.40040000000000003,0.9409368635437881,0.5,0.4827586206896552,0.49122807017543857,0.7566469290607222
ae_mlp,2,41,32,0.3934,0.9470468431771895,0.5616438356164384,0.47126436781609193,0.5125,0.7724453069280656
ae_mlp,3,42,38,0.3864,0.9436524100475221,0.525,0.4827586206896552,0.5029940119760479,0.7609676402779851
ae_mlp,4,41,31,0.3794,0.9477257298031229,0.5694444444444444,0.47126436781609193,0.5157232704402516,0.7738385497006186
dae_mlp,0,43,34,0.3508,0.9470468431771895,0.5584415584415584,0.4942528735632184,0.524390243902439,0.7917931366207228
dae_mlp,1,46,35,0.40680000000000005,0.9484046164290564,0.5679012345679012,0.5287356321839081,0.5476190476190477,0.7988091091539368
dae_mlp,2,43,34,0.39980000000000004,0.9470468431771895,0.5584415584415584,0.4942528735632184,0.524390243902439,0.7988422816009022
dae_mlp,3,43,33,0.39280000000000004,0.9477257298031229,0.5657894736842105,0.4942528735632184,0.5276073619631901,0.8094159990711716
dae_mlp,4,44,33,0.38580000000000003,0.9484046164290564,0.5714285714285714,0.5057471264367817,0.5365853658536586,0.7991408336235922
vae_mlp,0,46,37,0.3568,0.9470468431771895,0.5542168674698795,0.5287356321839081,0.5411764705882353,0.8123766399628469
vae_mlp,1,43,30,0.3498,0.9497623896809233,0.589041095890411,0.4942528735632184,0.5375,0.8047303909372874
vae_mlp,2,46,38,0.40580000000000005,0.9463679565512559,0.5476190476190477,0.5287356321839081,0.5380116959064327,0.8092833092833093
vae_mlp,3,44,33,0.39880000000000004,0.9484046164290564,0.5714285714285714,0.5057471264367817,0.5365853658536586,0.819699457630492
vae_mlp,4,45,42,0.39180000000000004,0.9429735234215886,0.5172413793103449,0.5172413793103449,0.5172413793103449,0.8059080128045646
sae,0,45,32,0.3802,0.9497623896809233,0.5844155844155844,0.5172413793103449,0.5487804878048781,0.8259358776600156
sae,1,42,31,0.3732,0.9484046164290564,0.5753424657534246,0.4827586206896552,0.525,0.8159012124529366
sae,2,43,32,0.36619999999999997,0.9484046164290564,0.5733333333333334,0.4942528735632184,0.5308641975308642,0.8146406594682456
sae,3,43,32,0.35919999999999996,0.9484046164290564,0.5733333333333334,0.4942528735632184,0.5308641975308642,0.8178335074886799
sae,4,43,33,0.4152,0.9477257298031229,0.5657894736842105,0.4942528735632184,0.5276073619631901,0.8266822577167405
rae_mlp,0,45,34,0.37,0.9484046164290564,0.569620253164557,0.5172413793103449,0.5421686746987951,0.8122937088454331
rae_mlp,1,42,32,0.363,0.9477257298031229,0.5675675675675675,0.4827586206896552,0.5217391304347826,0.8168797996384204
rae_mlp,2,45,34,0.356,0.9484046164290564,0.569620253164557,0.5172413793103449,0.5421686746987951,0.8114312252243286
rae_mlp,3,44,34,0.41200000000000003,0.9477257298031229,0.5641025641025641,0.5057471264367817,0.5333333333333333,0.8260271018891708
rae_mlp,4,42,32,0.405,0.9477257298031229,0.5675675675675675,0.4827586206896552,0.5217391304347826,0.8123683468511055
tabnet,0,47,35,0.355,0.9490835030549898,0.573170731707317,0.5402298850574713,0.5562130177514792,0.8303975717768821
tabnet,1,44,33,0.348,0.9484046164290564,0.5714285714285714,0.5057471264367817,0.5365853658536586,0.8413361861637725
tabnet,2,47,35,0.34099999999999997,0.9490835030549898,0.573170731707317,0.5402298850574713,0.5562130177514792,0.8419001177621868
tabnet,3,47,35,0.33399999999999996,0.9490835030549898,0.573170731707317,0.5402298850574713,0.5562130177514792,0.8235640477019788
tabnet,4,45,33,0.39,0.9490835030549898,0.5769230769230769,0.5172413793103449,0.5454545454545454,0.8338060407025925
