model,config,seed,f1,auc,threshold
asae,neither,0,0.5575757575757576,0.8388316664178733,0.344
asae,neither,1,0.5421686746987951,0.8368661989351643,0.33699999999999997
asae,neither,2,0.5673758865248227,0.8459139838450184,0.32999999999999996
asae,neither,3,0.5575757575757576,0.8543646647094923,0.32299999999999995
asae,neither,4,0.5355191256830601,0.8425221011427907,0.379
asae,cw,0,0.5673758865248227,0.8499859017100397,0.386
asae,cw,1,0.5423728813559322,0.8614801545836028,0.379
asae,cw,2,0.5433526011560693,0.8628899835796389,0.372
asae,cw,3,0.5569620253164557,0.8543480784860094,0.365
asae,cw,4,0.5497076023391813,0.850292746844471,0.358
asae,smote,0,0.5476190476190477,0.8629314491383457,0.386
asae,smote,1,0.5485714285714286,0.8475560199698131,0.379
asae,smote,2,0.5633802816901409,0.8487170556136073,0.372
asae,smote,3,0.5641025641025641,0.8487668142840556,0.365
asae,smote,4,0.5363128491620112,0.8540246471280954,0.358
asae,both,0,0.6086956521739131,0.8647310543862268,0.436
asae,both,1,0.6172839506172839,0.8661160040470385,0.429
asae,both,2,0.6211180124223602,0.8562057355160804,0.412
asae,both,3,0.6296296296296297,0.8642998125756747,0.415
asae,both,4,0.6289308176100629,0.8691346967209036,0.408
tabnet,neither,0,0.5389221556886228,0.8070441691131346,0.33699999999999997
tabnet,neither,1,0.5298013245033113,0.8195667678426298,0.32999999999999996
tabnet,neither,2,0.5341614906832298,0.8055928745583918,0.32299999999999995
tabnet,neither,3,0.5070422535211268,0.8006584730722662,0.31599999999999995
tabnet,neither,4,0.5454545454545454,0.798129073991143,0.372
tabnet,cw,0,0.5234899328859061,0.8078734802872733,0.33699999999999997
tabnet,cw,1,0.5263157894736842,0.8218473735715115,0.32999999999999996
tabnet,cw,2,0.5234899328859061,0.8185550082101806,0.32299999999999995
tabnet,cw,3,0.5521472392638037,0.8185550082101807,0.31599999999999995
tabnet,cw,4,0.5317919075144508,0.8276691380139655,0.372
tabnet,smote,0,0.5477707006369427,0.8102784826922758,0.33699999999999997
tabnet,smote,1,0.5263157894736842,0.8098057753230168,0.32999999999999996
tabnet,smote,2,0.5205479452054794,0.8168880927501617,0.32299999999999995
tabnet,smote,3,0.52,0.8287140700933805,0.31599999999999995
tabnet,smote,4,0.5432098765432098,0.8128161748851404,0.372
tabnet,both,0,0.5408805031446541,0.8260685674478779,0.347
tabnet,both,1,0.525,0.8195750609543713,0.33999999999999997
tabnet,both,2,0.5416666666666666,0.8313512796271417,0.33299999999999996
tabnet,both,3,0.5316455696202531,0.8217478562306149,0.32599999999999996
tabnet,both,4,0.5212121212121212,0.8317493489907283,0.382
