phase,run,date,artifact,figure
pilot,smote_ratio,2026-08-08,results/pilot/smote_ratio_scan.csv,setup
main,sklearn,2026-08-09,results/predictions/main/lr_seed0.csv,tab3
main,asae_seed2,2026-08-17,checkpoints/asae_seed2/best.pt,fig4/fig7
main,asae_bs512_aborted,2026-08-13,results/curves/asae_seed2_bs512_aborted.csv,
ablation,no_recon,2026-08-19,results/predictions/ablation,tab4
robustness,resplit,2026-08-20,results/tables/tab5_splits.csv,tab5
robustness,imbalance,2026-08-21,results/tables/tab6_imbalance.csv,tab6
tune,optuna_sklearn,2026-08-09,results/tuning/search_summary.csv,tab2
mixedtype,features,2026-08-22,data/features/x_mixed.npz,setup
mixedtype,rerun_13models,2026-08-22,results/predictions/mixedtype,tab7
mixedtype,table_check,2026-08-22,results/tables/tab7_mixedtype.csv,tab7
