model,display,accuracy,precision,recall,f1,f1_sd,auc,auc_sd
lr,LR,0.9456890699253225,0.5527719728134852,0.42298850574712643,0.4791580450566947,0.008175509809475298,0.7192308968171037,0.006039829498291951
svm,SVM,0.9465037338764427,0.5590869583394681,0.4482758620689656,0.4973963145170597,0.008808227589765898,0.7435280555970212,0.007441783515309746
rf,RF,0.9477257298031228,0.5691419508039227,0.4735632183908046,0.5168885579594387,0.008968618108226295,0.7814889452820488,0.005755643601575694
xgboost,XGBoost,0.9498981670061101,0.5971016138535321,0.46896551724137936,0.5249927613293672,0.007146620480984562,0.8158091589126071,0.004860388254086715
lightgbm,LightGBM,0.9477257298031228,0.5688232880768093,0.47586206896551725,0.5181542212947218,0.01344527613784912,0.8093703869565939,0.005305320141234685
mlp,MLP,0.9448744059742022,0.542280212716461,0.45517241379310347,0.49397929759180403,0.008659259261991037,0.7583213083213083,0.007767418063866774
ae_mlp,AE+MLP,0.9421588594704684,0.5117664332854206,0.4666666666666667,0.4877831327718264,0.009746368962164062,0.7498556998556998,0.007914174368251665
dae_mlp,DAE+MLP,0.9466395112016294,0.5544256572623719,0.4942528735632184,0.5224076125813014,0.01259655931935683,0.7898168880927502,0.006792563273533839
vae_mlp,VAE+MLP,0.9446028513238289,0.5328973756053544,0.5057471264367817,0.5188811020376248,0.010126466061855546,0.8015201273821964,0.0030014740912853197
sae,SAE,0.9469110658520027,0.5582088186630363,0.4850574712643678,0.5189905105163157,0.016425700656559655,0.8120474034267138,0.005331217707434504
rae_mlp,RAE+MLP,0.946775288526816,0.5558383970669616,0.4919540229885058,0.5218150365760873,0.012071724029840424,0.8066237083478462,0.00626892438466933
tabnet,TabNet,0.9473183978275628,0.5584388837400885,0.5172413793103449,0.5369467787114846,0.012590450511258424,0.8258753379443036,0.012289256141827161
asae,ASAE,0.9545145960624575,0.6240470712736714,0.5793103448275863,0.6007979880195325,0.011516156130258689,0.8583644325023636,0.0033668215672812735
