split_seed,model,f1,auc,threshold
10,asae,0.593939393939394,0.8717594665870527,0.429
10,tabnet,0.5128205128205128,0.841207642931781,0.3399999999999999
10,xgboost,0.5466666666666666,0.800687498963361,0.3999999999999999
11,asae,0.591715976331361,0.8409671426912806,0.422
11,tabnet,0.5135135135135135,0.8148189613706855,0.3329999999999999
11,xgboost,0.45,0.7982327378879102,0.456
12,asae,0.5575757575757576,0.8683966097759201,0.415
12,tabnet,0.5095541401273885,0.8097228442056028,0.3259999999999999
12,xgboost,0.5625,0.8169046789736445,0.449
13,asae,0.6233766233766234,0.8593571179778077,0.408
13,tabnet,0.5476190476190477,0.8019356122804399,0.382
13,xgboost,0.5962732919254659,0.8103780000331725,0.442
14,asae,0.5949367088607594,0.8635700187424326,0.4009999999999999
14,tabnet,0.5161290322580645,0.8256124463021015,0.375
14,xgboost,0.5766871165644172,0.8331260055397987,0.435
