model,config,seed,f1,auc,threshold
asae,neither,0,0.5542168674698795,0.8393831583486756,0.344
asae,neither,1,0.5325443786982249,0.8381640709226916,0.3369999999999999
asae,neither,2,0.5594405594405595,0.8469133038098555,0.3299999999999999
asae,neither,3,0.5476190476190477,0.8553639846743295,0.3229999999999999
asae,neither,4,0.532608695652174,0.8452298021263538,0.379
asae,cw,0,0.5673758865248227,0.8493017199913752,0.386
asae,cw,1,0.5363128491620112,0.862156043190526,0.379
asae,cw,2,0.5371428571428571,0.8641878555671658,0.372
asae,cw,3,0.5625,0.8586812293708845,0.365
asae,cw,4,0.5497076023391813,0.8476182183078735,0.358
asae,smote,0,0.5357142857142857,0.8611111111111112,0.386
asae,smote,1,0.5393258426966292,0.8487294952812194,0.379
asae,smote,2,0.5633802816901409,0.8499154102602379,0.372
asae,smote,3,0.567741935483871,0.8450556467797847,0.365
asae,smote,4,0.5485714285714286,0.8540287936839661,0.358
asae,both,0,0.591715976331361,0.8560274336136404,0.436
asae,both,1,0.5882352941176471,0.8569230896817104,0.429
asae,both,2,0.6144578313253012,0.8640717520027865,0.412
asae,both,3,0.6107784431137725,0.856102071619313,0.415
asae,both,4,0.5988023952095808,0.8586978155943673,0.408
tabnet,neither,0,0.5325443786982249,0.8076868852730923,0.3369999999999999
tabnet,neither,1,0.5369127516778524,0.8217354165630028,0.3299999999999999
tabnet,neither,2,0.5341614906832298,0.8087566966877312,0.3229999999999999
tabnet,neither,3,0.5,0.8024041730938283,0.3159999999999999
tabnet,neither,4,0.5421686746987951,0.8037725365311572,0.372
tabnet,cw,0,0.5131578947368421,0.8084415584415585,0.3369999999999999
tabnet,cw,1,0.5298013245033113,0.8233525733525733,0.3299999999999999
tabnet,cw,2,0.5032258064516129,0.8148106682589442,0.3229999999999999
tabnet,cw,3,0.5389221556886228,0.818658672106948,0.3159999999999999
tabnet,cw,4,0.5227272727272727,0.8229545039889867,0.372
tabnet,smote,0,0.5443037974683544,0.810829974623078,0.3369999999999999
tabnet,smote,1,0.5294117647058824,0.8128120283292697,0.3299999999999999
tabnet,smote,2,0.5100671140939598,0.817721550480171,0.3229999999999999
tabnet,smote,3,0.5131578947368421,0.830426597667977,0.3159999999999999
tabnet,smote,4,0.5432098765432098,0.8152584962929791,0.372
tabnet,both,0,0.5294117647058824,0.8212958816407092,0.347
tabnet,both,1,0.5357142857142857,0.8437619213481282,0.3399999999999999
tabnet,both,2,0.5212121212121212,0.8268025078369906,0.3329999999999999
tabnet,both,3,0.5529411764705883,0.8097850425436632,0.3259999999999999
tabnet,both,4,0.5454545454545454,0.827731336352026,0.382
