model,display,accuracy,precision,recall,f1,f1_sd,auc,auc_sd
lr,LR,0.9450101832993891,0.5437278152367666,0.43678160919540227,0.4841030691681062,0.010776528255900475,0.7384808677912125,0.005523897243893617
svm,SVM,0.946775288526816,0.5617321517821832,0.45517241379310347,0.5025413556886466,0.006960538436256146,0.7585236602477982,0.006593121369020986
rf,RF,0.9475899524779363,0.5675836884641987,0.4735632183908046,0.5162453399191088,0.009080036255546292,0.783719792340482,0.006573375348829489
xgboost,XGBoost,0.9500339443312967,0.6000390805677702,0.46896551724137925,0.5259631855201475,0.010921604468150842,0.8196621386276559,0.004550459204786424
lightgbm,LightGBM,0.9488119484046165,0.5814020306073087,0.47816091954022993,0.5246357466130908,0.006681076434562459,0.8129961354099284,0.0051811490215434575
mlp,MLP,0.9466395112016294,0.5648851308450812,0.4735632183908046,0.5125696903443492,0.01327721642831085,0.7742026173060655,0.007842156949330527
ae_mlp,AE+MLP,0.9421588594704684,0.5128149119244572,0.47816091954022993,0.49437175373514786,0.011371074973660456,0.7654865568658672,0.007603303766646559
dae_mlp,DAE+MLP,0.946775288526816,0.5545542728876063,0.5034482758620691,0.5277069554271249,0.01423705709446423,0.8004105090311986,0.005626760505120462
vae_mlp,VAE+MLP,0.9454175152749491,0.5415621096516003,0.5149425287356322,0.5272680727822057,0.01060402188759706,0.8118268066543928,0.006434512583334035
sae,SAE,0.9471826205023761,0.5600109144231952,0.496551724137931,0.5262075215044444,0.010122271956929883,0.8202327047154633,0.00528973257423515
rae_mlp,RAE+MLP,0.9471826205023761,0.5593959373959374,0.4988505747126437,0.527333871306414,0.01505504383558064,0.8174412433033122,0.007384599010127937
tabnet,TabNet,0.9477257298031228,0.5611306246316877,0.5287356321839081,0.5443122119911445,0.010140182400061131,0.8345151017564809,0.007058229839905223
asae,ASAE,0.9584521384928717,0.6728119827613128,0.5839080459770115,0.6241147580547708,0.007362112548443868,0.8702186064255029,0.0049733695003075645
